country_code,country_name,year,life_exp,infant_mort
PHL,Philippines,2019,69.68,22.6
PLW,Palau,2019,68.98,19.8
PNG,Papua New Guinea,2019,65.33,36.2
POL,Poland,2019,77.9,3.8
PRI,Puerto Rico (US),2019,81.44,
PRK,"Korea, Dem. People's Rep.",2019,72.93,14.3
PRT,Portugal,2019,81.68,2.8
PRY,Paraguay,2019,73.67,17
PSE,West Bank and Gaza,2019,75.81,13.6
PYF,French Polynesia,2019,83.19,
QAT,Qatar,2019,82.94,5.4
ROU,Romania,2019,75.61,5.6
RUS,Russian Federation,2019,73.08,4.8
RWA,Rwanda,2019,66.69,31.7
SAU,Saudi Arabia,2019,78.31,5.7
SDN,Sudan,2019,65.8,43.4
SEN,Senegal,2019,67.67,34.8
SGP,Singapore,2019,83.6,2
SLB,Solomon Islands,2019,69.98,18.7
SLE,Sierra Leone,2019,59.59,64
SLV,El Salvador,2019,71.72,10.6
SMR,San Marino,2019,85.26,1.5
SOM,"Somalia, Fed. Rep.",2019,57.25,75
SRB,Serbia,2019,75.94,4.8
SSD,South Sudan,2019,58.13,71.9
STP,Sao Tome and Principe,2019,68.04,11.3
SUR,Suriname,2019,71.77,17.1
SVK,Slovak Republic,2019,77.67,5
SVN,Slovenia,2019,81.53,2
SWE,Sweden,2019,83.11,2.2
SWZ,Eswatini,2019,59.85,47.6
SXM,Sint Maarten (Dutch part),2019,75.68,
SYC,Seychelles,2019,74.05,13.6
SYR,Syrian Arab Republic,2019,70.97,21.1
TCA,Turks and Caicos Islands,2019,77.69,3.6
TCD,Chad,2019,52.99,64.6
TGO,Togo,2019,61.06,40.2
THA,Thailand,2019,77.2,8.9
TJK,Tajikistan,2019,70.96,25
TKM,Turkmenistan,2019,69.41,33.9
TLS,Timor-Leste,2019,66.5,39.6
TON,Tonga,2019,72.29,8.8
TTO,Trinidad and Tobago,2019,72.84,19.2
TUN,Tunisia,2019,75.6,14.4
TUR,Turkiye,2019,77.74,9.4
TUV,Tuvalu,2019,66.11,19.4
TZA,Tanzania,2019,66.01,34.5
UGA,Uganda,2019,66.35,36.9
UKR,Ukraine,2019,73.92,8.3
URY,Uruguay,2019,77.5,6.2
USA,United States,2019,78.79,5.5
UZB,Uzbekistan,2019,72.09,14.9
VCT,St. Vincent and the Grenadines,2019,70.99,12.8
VEN,"Venezuela, RB",2019,72.77,21.2
VGB,British Virgin Islands,2019,76.84,13
VIR,Virgin Islands (U.S.),2019,79.67,
VNM,Viet Nam,2019,74.21,14.1
VUT,Vanuatu,2019,70.78,15.1
WSM,Samoa,2019,70.27,14.9
XKX,Kosovo,2019,77.25,10.2
YEM,"Yemen, Rep.",2019,66.57,39
ZAF,South Africa,2019,66.07,25.1
ZMB,Zambia,2019,62.91,36.1
ZWE,Zimbabwe,2019,61.06,55.8
