country_code,country_name,region,income_group,year,gdppc
SUR,Suriname,Latin America & Caribbean ,Upper middle income,2019,6629.67
SVK,Slovak Republic,Europe & Central Asia,High income,2019,19406.06
SVN,Slovenia,Europe & Central Asia,High income,2019,25814.17
SWE,Sweden,Europe & Central Asia,High income,2019,51648.99
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,2019,3913.15
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,2019,34861.47
SYC,Seychelles,Sub-Saharan Africa ,High income,2019,19141.51
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2019,1109.54
TCA,Turks and Caicos Islands,Latin America & Caribbean ,High income,2019,31780.52
TCD,Chad,Sub-Saharan Africa ,Low income,2019,893.34
TGO,Togo,Sub-Saharan Africa ,Lower middle income,2019,917.72
THA,Thailand,East Asia & Pacific,Upper middle income,2019,7605.7
TJK,Tajikistan,Europe & Central Asia,Lower middle income,2019,871.02
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,2019,4365.12
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,2019,1562.36
TON,Tonga,East Asia & Pacific,Upper middle income,2019,4788.83
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,2019,17212.61
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2019,3528.87
TUR,Turkiye,Europe & Central Asia,Upper middle income,2019,9395.23
TUV,Tuvalu,East Asia & Pacific,Upper middle income,2019,5058.85
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,2019,1063.32
UGA,Uganda,Sub-Saharan Africa ,Low income,2019,822.17
UKR,Ukraine,Europe & Central Asia,Upper middle income,2019,3619.86
URY,Uruguay,Latin America & Caribbean ,High income,2019,18315.74
USA,United States,North America,High income,2019,65227.96
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2019,2128.66
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,2019,8740.59
VEN,"Venezuela, RB",Latin America & Caribbean ,Lower middle income,2019,2523.12
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,2019,38633.53
VNM,Viet Nam,East Asia & Pacific,Upper middle income,2019,3440.9
VUT,Vanuatu,East Asia & Pacific,Lower middle income,2019,3635.62
WSM,Samoa,East Asia & Pacific,Upper middle income,2019,4351.94
XKX,Kosovo,Europe & Central Asia,Upper middle income,2019,4415.7
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,2019,6533.71
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,2019,1258.99
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,2019,2184.52
